Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
75,Udawalawe–Thanamalwila Scenic Road (Uva stretch),Thanamalwila,Uva,Viewpoint,6.4500,81.0300,Paved,1.5,4.2
76,Haldummulla Old Fort Ruins,Haldummulla,Uva,History,6.7700,80.8850,Off-Road,1.5,4.3
77,Kirigalpotta Approach via Ohiya,Ohiya/Uva,Uva,Hiking,6.8000,80.9500,Hilly,5,4.7
78,Welimada Strawberry Farms,Welimada,Uva,Culture,6.9500,80.9400,Paved,1.5,4.4
79,Demodara Tea Fields Panorama,Demodara,Uva,Viewpoint,6.8800,81.0580,Hilly,1.5,4.5
80,Passara Mini World’s End,Passara,Uva,Viewpoint,7.1200,81.1300,Hilly,2,4.5
81,Kirinda Oya Bridge (Uva side),Wellawaya/Uva,Uva,Architecture,6.6100,81.0550,Paved,1,4.2
82,Rikillagaskada–Loggaloya Scenic Bank,Mahiyanganaya/Uva,Uva,Relax,7.2700,80.9900,Paved,1.5,4.3
83,Meedumpitiya Falls,Bandarawela,Uva,Nature,6.8400,81.0000,Hilly,1.5,4.3
84,Rawana Zipline View Cafe,Ella,Uva,Relax,6.8720,81.0605,Paved,1,4.4
85,Kirchhayn Forest Patch,Haputale,Uva,Nature,6.7700,80.9050,Off-Road,2,4.3
