Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
53,Talaimannar Lighthouse,Talaimannar,Northern,History,9.0920,79.7318,Paved,1.5,4.5
54,Talaimannar Pier & Beach,Talaimannar,Northern,Beach,9.0900,79.7330,Paved,2.5,4.4
55,Thiruketheeswaram Kovil,Mannar,Northern,Religious,8.9890,79.8930,Paved,2,4.7
56,Mannar Baobab Tree,Palampiddi/Mannar,Northern,Nature,8.9520,79.9130,Paved,1,4.5
57,Mannar Bird Sanctuary (Vankalai),Vankalai,Northern,Birding,8.9540,79.9280,Off-Road,3,4.6
58,Vankalai Lagoon,Vankalai,Northern,Nature,8.9580,79.9330,Off-Road,2.5,4.5
59,Giants Tank (Yoda Wewa),Mannar,Northern,Nature,8.9600,79.9800,Off-Road,2.5,4.4
60,Arippu Dutch Church Ruins,Arippu,Northern,History,8.8100,79.9000,Off-Road,2,4.2
61,Arippu Beach,Arippu,Northern,Beach,8.8080,79.9010,Off-Road,3,4.3
62,Madu Church (Shrine of Our Lady of Madhu),Madhu,Northern,Religious,8.8570,80.2080,Paved,2,4.7
63,Murunkan Temple Circuit,Murunkan,Northern,Religious,8.9380,80.0600,Paved,2,4.2
64,Palmyrah House Cultural Center,Jaffna,Northern,Culture,9.6650,80.0200,Paved,1.5,4.3
65,Jaffna Lagoon Kayaking (local jetties),Jaffna,Northern,Adventure,9.6800,80.0050,Off-Road,3,4.4
66,Thanthirimale? (out of province),-,Northern,History,0,0,Paved,0,0
67,Charty Beach (near Point Pedro),Point Pedro,Northern,Beach,9.8205,80.2450,Paved,2.5,4.3
68,Keerimalai Cliff Viewpoint,Keerimalai,Northern,Viewpoint,9.8242,80.0188,Hilly,1,4.5
69,Jaffna Clock Tower,Jaffna,Northern,History,9.6690,80.0190,Paved,0.8,4.3
70,Jaffna Railway Station Heritage Stop,Jaffna,Northern,History,9.6670,80.0178,Paved,1,4.2
71,Kopay Hot Springs (local),Kopay,Northern,Nature,9.7000,80.0200,Off-Road,1.5,4.1
72,Santhakulam Lake Walk,Jaffna,Northern,Relax,9.6800,80.0300,Paved,1.5,4.3
73,Chavakachcheri Lagoon Edge,Chavakachcheri,Northern,Nature,9.6600,80.1700,Off-Road,2,4.2
74,Puthukkudiyiruppu Town Memorial Area,Puthukkudiyiruppu,Northern,History,9.2500,80.7000,Paved,1.5,4.0
75,Mullivaikkal Beach,Mullivaikkal,Northern,Beach,9.2600,80.9300,Off-Road,3,4.2
76,Manthai West Ancient Port Area,Mannar (Mantai),Northern,History,8.9810,79.9500,Off-Road,2,4.3
77,Pooneryn Fort Ruins,Pooneryn,Northern,History,9.5020,80.2070,Off-Road,2,4.3
78,Pooneryn Beach,Pooneryn,Northern,Beach,9.4950,80.2030,Off-Road,3,4.3
79,Iyakachchi Town Stop,Iyakachchi,Northern,Culture,9.4450,80.4520,Paved,1,4.1
80,Mannar Causeway Drive,Mannar,Northern,Relax,9.0000,79.9500,Paved,1.5,4.4
